Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
OPEN,Opendoor Technologies Inc.,,,+0.1300,+4.28%,410.691M,199.65M,2.333B,--,+61.73%,
INTC,Intel Corporation,,,+0.70,+2.93%,307.455M,92.134M,107.499B,--,+14.13%,
NVDA,NVIDIA Corporation,,,-1.57,-0.86%,150.295M,182.258M,4.401T,58.21,+38.81%,
NU,Nu Holdings Ltd.,,,+1.09,+9.08%,130.401M,63.181M,63.304B,27.87,-9.34%,
WULF,TeraWulf Inc.,,,+0.26,+2.99%,107.212M,51.801M,3.518B,--,+106.21%,
RUN,Sunrun Inc.,,,+3.44,+32.82%,76.254M,24.218M,3.212B,--,-31.29%,
TSLA,"Tesla, Inc.",,,-5.02,-1.50%,72.95M,102.887M,1.066T,195.60,+48.42%,
NIO,NIO Inc.,,,+0.3600,+8.09%,68.663M,50.607M,10.269B,--,+18.18%,
UNH,UnitedHealth Group Incorporated,,,+32.52,+11.98%,67.496M,17.987M,275.334B,13.16,-47.47%,
BMNR,"Bitmine Immersion Technologies, Inc.",,,-2.64,-4.37%,59.371M,31.746M,10.03B,--,+645.94%,
PLTR,Palantir Technologies Inc.,,,-3.83,-2.12%,59.832M,73.009M,420.307B,590.57,+445.14%,
LCID,"Lucid Group, Inc.",,,-0.0700,-3.11%,53.355M,144.383M,6.698B,--,-32.92%,
RIVN,"Rivian Automotive, Inc.",,,+0.18,+1.49%,51.614M,32.624M,14.852B,--,-9.53%,
AMCR,Amcor plc,,,-0.03,-0.34%,50.216M,26.146M,20.003B,27.28,-17.80%,
AAL,American Airlines Group Inc.,,,+0.35,+2.73%,49.584M,61.151M,8.69B,15.68,+27.74%,
RGTI,"Rigetti Computing, Inc.",,,-1.33,-7.40%,48.033M,50.817M,5.397B,--,"+1,813.79%",
AMD,"Advanced Micro Devices, Inc.",,,-3.44,-1.90%,50.736M,55.3M,288.07B,106.29,+14.32%,
QBTS,D-Wave Quantum Inc.,,,-1.17,-6.44%,42.926M,63.648M,5.818B,--,"+1,734.95%",
SNAP,Snap Inc.,,,+0.07,+0.99%,46.706M,39.661M,12.082B,--,-24.74%,
F,Ford Motor Company,,,0.00,0.00%,42.737M,84.332M,45.53B,14.67,+6.72%,
AAPL,Apple Inc.,,,-1.19,-0.51%,54.864M,56.592M,3.437T,35.09,+2.52%,
CORZ,"Core Scientific, Inc.",,,+0.29,+2.13%,43.565M,19.063M,4.315B,--,+36.00%,
SOFI,"SoFi Technologies, Inc.",,,+0.48,+2.06%,43.404M,70.489M,28.463B,47.54,+218.63%,
SOUN,"SoundHound AI, Inc.",,,-0.95,-5.74%,39.883M,42.721M,6.356B,--,+214.95%,
WBD,"Warner Bros. Discovery, Inc.",,,+0.07,+0.59%,39.327M,60.954M,29.338B,38.23,+55.31%,
